time,open,high,low,close,tick_volume,spread,real_volume,symbol,timestamp,date
1464739200,512.51,527.6,511.2,524.18,17841,0,0,BTCUSD,2016-06-01 00:00:00,2016-06-01
1464825600,524.18,528.9,517.0,525.7,17680,0,0,BTCUSD,2016-06-02 00:00:00,2016-06-02
1464912000,525.5,554.88,524.13,553.18,15924,0,0,BTCUSD,2016-06-03 00:00:00,2016-06-03
1465171200,562.52,578.9,558.01,573.01,16787,0,0,BTCUSD,2016-06-06 00:00:00,2016-06-06
1465257600,573.01,583.79,553.26,563.62,16835,0,0,BTCUSD,2016-06-07 00:00:00,2016-06-07
1465344000,563.62,571.99,561.01,568.23,16571,0,0,BTCUSD,2016-06-08 00:00:00,2016-06-08
1465430400,568.23,572.28,559.03,560.3,15445,0,0,BTCUSD,2016-06-09 00:00:00,2016-06-09
1465516800,560.3,568.2,559.0,566.8,15081,0,0,BTCUSD,2016-06-10 00:00:00,2016-06-10
1465776000,632.04,689.99,620.0,667.66,16844,0,0,BTCUSD,2016-06-13 00:00:00,2016-06-13
1465862400,667.66,686.43,638.0,672.8,18667,0,0,BTCUSD,2016-06-14 00:00:00,2016-06-14
1465948800,672.8,678.2,650.0,670.02,18312,0,0,BTCUSD,2016-06-15 00:00:00,2016-06-15
1466035200,670.01,733.24,663.66,729.79,19828,0,0,BTCUSD,2016-06-16 00:00:00,2016-06-16
1466121600,729.79,740.0,680.0,726.2,21407,0,0,BTCUSD,2016-06-17 00:00:00,2016-06-17
1466380800,726.52,734.52,700.37,709.95,19081,0,0,BTCUSD,2016-06-20 00:00:00,2016-06-20
1466467200,709.95,712.63,613.87,628.1,20396,0,0,BTCUSD,2016-06-21 00:00:00,2016-06-21
1466553600,628.1,666.39,590.18,593.84,24233,0,0,BTCUSD,2016-06-22 00:00:00,2016-06-22
1466640000,590.11,604.88,522.42,589.46,28591,0,0,BTCUSD,2016-06-23 00:00:00,2016-06-23
1466726400,589.45,668.5,584.66,629.89,21418,0,0,BTCUSD,2016-06-24 00:00:00,2016-06-24
1466985600,611.05,629.99,600.4,627.75,20482,0,0,BTCUSD,2016-06-27 00:00:00,2016-06-27
1467072000,627.75,640.0,622.68,627.8,18227,0,0,BTCUSD,2016-06-28 00:00:00,2016-06-28
1467158400,627.8,631.8,604.9,624.7,17458,0,0,BTCUSD,2016-06-29 00:00:00,2016-06-29
1467244800,624.7,662.58,618.0,648.5,18083,0,0,BTCUSD,2016-06-30 00:00:00,2016-06-30
1467331200,648.5,674.0,648.18,660.4,19412,0,0,BTCUSD,2016-07-01 00:00:00,2016-07-01
1467590400,649.0,665.68,641.46,655.42,19483,0,0,BTCUSD,2016-07-04 00:00:00,2016-07-04
1467676800,655.24,664.0,645.5,652.6,20413,0,0,BTCUSD,2016-07-05 00:00:00,2016-07-05
1467763200,652.6,662.4,649.8,659.07,19693,0,0,BTCUSD,2016-07-06 00:00:00,2016-07-06
1467849600,659.46,659.99,600.0,605.8,19978,0,0,BTCUSD,2016-07-07 00:00:00,2016-07-07
1467936000,605.81,642.16,589.58,639.67,20748,0,0,BTCUSD,2016-07-08 00:00:00,2016-07-08
1468195200,630.46,644.0,630.02,638.16,19081,0,0,BTCUSD,2016-07-11 00:00:00,2016-07-11
1468281600,638.16,659.0,635.0,655.0,17481,0,0,BTCUSD,2016-07-12 00:00:00,2016-07-12
1468368000,655.0,659.0,645.74,651.0,16577,0,0,BTCUSD,2016-07-13 00:00:00,2016-07-13
1468454400,651.0,652.1,642.99,647.0,16914,0,0,BTCUSD,2016-07-14 00:00:00,2016-07-14
1468540800,647.0,655.0,644.24,653.2,17488,0,0,BTCUSD,2016-07-15 00:00:00,2016-07-15
1468800000,665.13,668.5,656.15,657.36,18882,0,0,BTCUSD,2016-07-18 00:00:00,2016-07-18
1468886400,657.36,663.7,655.15,660.9,16837,0,0,BTCUSD,2016-07-19 00:00:00,2016-07-19
1468972800,660.7,663.45,652.89,653.42,16721,0,0,BTCUSD,2016-07-20 00:00:00,2016-07-20
1469059200,653.42,661.0,650.99,657.7,15671,0,0,BTCUSD,2016-07-21 00:00:00,2016-07-21
1469145600,657.7,660.23,646.0,650.55,11629,0,0,BTCUSD,2016-07-22 00:00:00,2016-07-22
1469404800,653.2,655.28,645.49,646.02,12014,0,0,BTCUSD,2016-07-25 00:00:00,2016-07-25
1469491200,646.03,652.01,641.01,649.01,19842,0,0,BTCUSD,2016-07-26 00:00:00,2016-07-26
1469577600,649.01,653.0,643.0,647.98,18949,0,0,BTCUSD,2016-07-27 00:00:00,2016-07-27
1469664000,647.98,650.47,642.22,649.13,18216,0,0,BTCUSD,2016-07-28 00:00:00,2016-07-28
1469750400,649.13,650.0,645.61,647.0,18260,0,0,BTCUSD,2016-07-29 00:00:00,2016-07-29
1470009600,627.3,628.2,608.13,610.8,18113,0,0,BTCUSD,2016-08-01 00:00:00,2016-08-01
1470096000,610.8,614.89,563.0,563.0,15668,0,0,BTCUSD,2016-08-02 00:00:00,2016-08-02
1470182400,563.01,569.99,471.1,565.63,15777,0,0,BTCUSD,2016-08-03 00:00:00,2016-08-03
1470268800,566.79,578.57,562.61,571.0,19705,0,0,BTCUSD,2016-08-04 00:00:00,2016-08-04
